Id,Balance,Amount,Currency,Type,Status,Modified,Trade Id,Instrument Symbol,Instrument Name,Commission,Account type
"912863933","4.62","-0.13","USD","TRADE","PROCESSED","2022-12-18 16:57:35","0010709d-0001-54c4-0000-4b900020d1a9_0010709d-0001-54c4-0000-0000804102e3","DGB/USD","DigiByte / USD","","CFD"
"912863926","4.75","-0.13","USD","TRADE","PROCESSED","2022-12-18 16:57:04","0010709d-0001-54c4-0000-4b900020ce07_0010709d-0001-54c4-0000-0000804102de","DGB/USD","DigiByte / USD","","CFD"
"912863922","4.88","-0.13","USD","TRADE","PROCESSED","2022-12-18 16:56:52","0010709d-0001-54c4-0000-4b900020ccd1_0010709d-0001-54c4-0000-0000804102d7","DGB/USD","DigiByte / USD","","CFD"
"912863921","5.01","-0.11","USD","TRADE","PROCESSED","2022-12-18 16:56:45","0010709d-0001-54c4-0000-4b900020cc26_0010709d-0001-54c4-0000-0000804102d0","DGB/USD","DigiByte / USD","","CFD"
"912863878","5.12","-0.03","USD","TRADE","PROCESSED","2022-12-18 16:55:12","0004405d-0009-40dd-0000-4b900003797d_0004405d-0009-40dd-0000-0000802800d9","ADA/BTC","Cardano / Bitcoin","","CFD"
"912863876","5.15","-0.11","USD","TRADE","PROCESSED","2022-12-18 16:54:55","0061241d-0009-40dd-0000-4b900003793d_0061241d-0009-40dd-0000-00008026007c","XRP/BTC","Ripple / Bitcoin","","CFD"
"912863875","5.26","-0.03","USD","TRADE","PROCESSED","2022-12-18 16:54:55","0061241d-0009-40dd-0000-4b900003793c_0061241d-0009-40dd-0000-000080260078","XRP/BTC","Ripple / Bitcoin","","CFD"
"912863874","5.29","-0.02","USD","TRADE","PROCESSED","2022-12-18 16:54:55","0061241d-0009-40dd-0000-4b900003793b_0061241d-0009-40dd-0000-000080260030","XRP/BTC","Ripple / Bitcoin","","CFD"
"912863873","5.31","-0.01","USD","TRADE","PROCESSED","2022-12-18 16:54:55","0061241d-0009-40dd-0000-4b900003793a_0061241d-0009-40dd-0000-000080260029","XRP/BTC","Ripple / Bitcoin","","CFD"
"912863872","5.32","-0.01","USD","TRADE","PROCESSED","2022-12-18 16:54:55","0061241d-0009-40dd-0000-4b9000037939_0061241d-0009-40dd-0000-000080260024","XRP/BTC","Ripple / Bitcoin","","CFD"
"912863871","5.33","-0.01","USD","TRADE","PROCESSED","2022-12-18 16:54:55","0061241d-0009-40dd-0000-4b9000037938_0061241d-0009-40dd-0000-000080260020","XRP/BTC","Ripple / Bitcoin","","CFD"
"912863870","5.34","-0.01","USD","TRADE","PROCESSED","2022-12-18 16:54:55","0061241d-0009-40dd-0000-4b9000037937_0061241d-0009-40dd-0000-00008026001d","XRP/BTC","Ripple / Bitcoin","","CFD"
"912863869","5.35","-0.01","USD","TRADE","PROCESSED","2022-12-18 16:54:55","0061241d-0009-40dd-0000-4b9000037936_0061241d-0009-40dd-0000-000080260018","XRP/BTC","Ripple / Bitcoin","","CFD"
"912863867","5.36","-0.01","USD","TRADE","PROCESSED","2022-12-18 16:54:45","000d23dd-0001-54c4-0000-4b900020c24a_000d23dd-0001-54c4-0000-0000803b0163","CRO/USD","Crypto.com Coin / USD","","CFD"
"912863865","5.37","-0.03","USD","TRADE","PROCESSED","2022-12-18 16:54:45","000d23dd-0001-54c4-0000-4b900020c249_000d23dd-0001-54c4-0000-0000803b0160","CRO/USD","Crypto.com Coin / USD","","CFD"
"912863862","5.4","-0.01","USD","TRADE","PROCESSED","2022-12-18 16:54:36","000d23dd-0001-54c4-0000-4b900020c131_000d23dd-0001-54c4-0000-0000803b0159","CRO/USD","Crypto.com Coin / USD","","CFD"
"912863857","5.41","-0.03","USD","TRADE","PROCESSED","2022-12-18 16:54:28","000d23dd-0001-54c4-0000-4b900020c07c_000d23dd-0001-54c4-0000-0000803b0159","CRO/USD","Crypto.com Coin / USD","","CFD"
"912863856","5.44","-0.01","USD","TRADE","PROCESSED","2022-12-18 16:54:28","000d23dd-0001-54c4-0000-4b900020c07b_000d23dd-0001-54c4-0000-0000803b0156","CRO/USD","Crypto.com Coin / USD","","CFD"
